ダウンロードした時刻：2018/05/27 17:37:20

,一関,一関,一関
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2013/2/23,-2.4,8,1
2013/2/24,-4.7,8,1
2013/2/25,-5.2,8,1
2013/2/26,-3.0,8,1
2013/2/27,-1.4,8,1
2013/2/28,3.0,8,1
2013/3/1,1.8,8,1
2013/3/2,1.8,8,1
2013/3/3,0.5,8,1
2013/3/4,0.7,8,1
2013/3/5,1.4,8,1
2013/3/6,5.1,8,1
2013/3/7,4.5,8,1
2013/3/8,8.3,8,1
2013/3/9,4.0,8,1
2013/3/10,2.1,8,1
2013/3/11,-1.4,8,1
2013/3/12,3.9,8,1
2013/3/13,4.3,8,1
2013/3/14,1.2,8,1
2013/3/15,2.4,8,1
2013/3/16,3.0,8,1
2013/3/17,5.3,8,1
2013/3/18,5.1,8,1
2013/3/19,8.7,8,1
2013/3/20,6.8,8,1
2013/3/21,1.8,8,1
2013/3/22,6.2,8,1
2013/3/23,4.1,8,1
2013/3/24,2.2,8,1
2013/3/25,3.7,8,1
2013/3/26,1.9,8,1
2013/3/27,3.9,8,1
2013/3/28,10.5,8,1
2013/3/29,7.8,8,1
2013/3/30,4.5,8,1
2013/3/31,2.2,8,1
2013/4/1,4.9,8,1
2013/4/2,5.8,8,1
2013/4/3,9.8,8,1
2013/4/4,10.1,8,1
2013/4/5,9.2,8,1
2013/4/6,12.4,8,1
2013/4/7,12.0,8,1
2013/4/8,7.5,8,1
2013/4/9,11.2,8,1
2013/4/10,7.8,8,1
2013/4/11,7.1,8,1
2013/4/12,5.9,8,1
2013/4/13,5.8,8,1
2013/4/14,10.5,8,1
2013/4/15,10.1,8,1
2013/4/16,8.9,8,1
2013/4/17,11.2,8,1
2013/4/18,7.5,8,1
2013/4/19,5.5,8,1
2013/4/20,6.3,8,1
2013/4/21,2.8,8,1
2013/4/22,7.4,8,1
2013/4/23,9.4,8,1
2013/4/24,11.4,8,1
